"Region","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Central and Eastern Europe","Boys",1989,10,138.7764799409,137.9415906167,139.588523721447,0.420017383315459
"Central and Eastern Europe","Boys",1989,11,144.025253108338,143.197828325965,144.833233454472,0.419968768777017
"Central and Eastern Europe","Boys",1989,12,150.007866687872,149.162873016756,150.831290351816,0.427244049712859
"Central and Eastern Europe","Boys",1989,13,156.998864169023,156.133732078631,157.842177341311,0.436430932221581
"Central and Eastern Europe","Boys",1989,14,163.669312715481,162.782873385945,164.54844348401,0.447980194412399
"Central and Eastern Europe","Boys",1989,15,168.629237896545,167.707113236139,169.554585500763,0.469428393814534
"Central and Eastern Europe","Boys",1989,16,172.081238442904,171.117266187924,173.038404271968,0.489512555868715
"Central and Eastern Europe","Boys",1989,17,174.431988487896,173.412253648046,175.430033390696,0.511446637768158
"Central and Eastern Europe","Boys",1989,18,175.869596985256,174.83010713397,176.8969169173,0.532303388205162
"Central and Eastern Europe","Boys",1989,19,176.549883164651,175.445093094124,177.661110057779,0.567062068187581
"Central and Eastern Europe","Boys",1990,5,111.406525348053,110.30121973707,112.499708098478,0.556553288465464
"Central and Eastern Europe","Boys",1990,6,117.510447289554,116.527511013069,118.47629494821,0.497898128913265
"Central and Eastern Europe","Boys",1990,7,123.15405352448,122.226168039035,124.044873259764,0.462484754889889
"Central and Eastern Europe","Boys",1990,8,128.471952310369,127.585657500706,129.312051142726,0.43866894046488
"Central and Eastern Europe","Boys",1990,9,133.61160788102,132.769107235614,134.423632122509,0.423966208384464
"Central and Eastern Europe","Boys",1990,10,138.796953199339,137.98359792929,139.589334290565,0.407439564030417
"Central and Eastern Europe","Boys",1990,11,144.056410655052,143.248241239795,144.842397302764,0.404789048020888
"Central and Eastern Europe","Boys",1990,12,150.047427149386,149.238891577032,150.838911558079,0.408779519700048
"Central and Eastern Europe","Boys",1990,13,157.045673206787,156.209259949367,157.850610102,0.415568351698252
"Central and Eastern Europe","Boys",1990,14,163.727754041032,162.887900550289,164.557725411072,0.424701918595033
"Central and Eastern Europe","Boys",1990,15,168.71541297184,167.825412463339,169.582375791371,0.443818214629382
"Central and Eastern Europe","Boys",1990,16,172.189170928162,171.287188457423,173.116621919273,0.461649362253227
"Central and Eastern Europe","Boys",1990,17,174.562001259286,173.609337766458,175.524991866653,0.48183029535022
"Central and Eastern Europe","Boys",1990,18,176.011154364192,175.036781265366,176.993734463317,0.500514704227797
"Central and Eastern Europe","Boys",1990,19,176.684655745761,175.641070245815,177.734309225435,0.533619066456239
"Central and Eastern Europe","Boys",1991,5,111.367019611716,110.293336039733,112.441636154549,0.548232025423871
"Central and Eastern Europe","Boys",1991,6,117.487566276559,116.515396063874,118.436551890148,0.490187617854896
"Central and Eastern Europe","Boys",1991,7,123.156996003476,122.253459443129,124.030745887362,0.454590517319976
"Central and Eastern Europe","Boys",1991,8,128.491005296767,127.621053435106,129.323676305075,0.431120635197524
"Central and Eastern Europe","Boys",1991,9,133.624369690494,132.793878128119,134.416480883393,0.414913473672668
"Central and Eastern Europe","Boys",1991,10,138.811711401138,138.031365520426,139.585000209198,0.397905018575134
"Central and Eastern Europe","Boys",1991,11,144.066602271841,143.288315933537,144.828558890252,0.392954477178076
"Central and Eastern Europe","Boys",1991,12,150.068291863102,149.293211679011,150.831606810622,0.394437472995467
"Central and Eastern Europe","Boys",1991,13,157.075632717405,156.290684383557,157.844159999761,0.397749412689857
"Central and Eastern Europe","Boys",1991,14,163.766631867821,162.966397224802,164.547823714517,0.40431657677806
"Central and Eastern Europe","Boys",1991,15,168.785650442765,167.95374498186,169.604980349495,0.419001467339141
"Central and Eastern Europe","Boys",1991,16,172.275114797311,171.425189795562,173.154722562735,0.435191323720894
"Central and Eastern Europe","Boys",1991,17,174.667396024698,173.76303342926,175.591736254705,0.453766106106509
"Central and Eastern Europe","Boys",1991,18,176.135521221868,175.216189919516,177.063377310222,0.471310267996896
"Central and Eastern Europe","Boys",1991,19,176.817541551441,175.835065896493,177.810968941239,0.504430894180285
"Central and Eastern Europe","Boys",1992,5,111.325084941903,110.283603833684,112.383162758617,0.539801787040954
"Central and Eastern Europe","Boys",1992,6,117.449065311519,116.495901682107,118.377458927844,0.480460892520739
"Central and Eastern Europe","Boys",1992,7,123.134010011045,122.243865708322,123.996190691922,0.445752352454019
"Central and Eastern Europe","Boys",1992,8,128.492962570657,127.661800233942,129.297848632415,0.422078800920635
"Central and Eastern Europe","Boys",1992,9,133.641738942351,132.831078350854,134.41919749758,0.406344097168643
"Central and Eastern Europe","Boys",1992,10,138.827188669194,138.053710598609,139.575173451217,0.389455764718554
"Central and Eastern Europe","Boys",1992,11,144.072149310436,143.320142348559,144.820988468222,0.384094845293122
"Central and Eastern Europe","Boys",1992,12,150.069387810794,149.309629769813,150.819859530037,0.383326300370309
"Central and Eastern Europe","Boys",1992,13,157.08876871484,156.329777372401,157.835023686402,0.384047562663042
"Central and Eastern Europe","Boys",1992,14,163.791343138154,163.027571232241,164.548053667343,0.386955900761256
"Central and Eastern Europe","Boys",1992,15,168.843651125352,168.056835377914,169.632386489582,0.395942450598796
"Central and Eastern Europe","Boys",1992,16,172.343227646915,171.531473074986,173.162166656246,0.409877920420158
"Central and Eastern Europe","Boys",1992,17,174.749384127923,173.906979152869,175.613420512248,0.427417035943946
"Central and Eastern Europe","Boys",1992,18,176.235124044646,175.368882470712,177.127745810046,0.44394168603558
"Central and Eastern Europe","Boys",1992,19,176.93482751895,175.991409520493,177.883113662452,0.477787786301992
"Central and Eastern Europe","Boys",1993,5,111.296596056034,110.269919309182,112.340641731437,0.530855507372045
"Central and Eastern Europe","Boys",1993,6,117.411994315489,116.474867339572,118.332085108916,0.471123817931048
